"timeindex" "Y" "nsmY" "x" "y"
388 -0.519713038583214 -0.196307490031325 388 -0.323405548551889
389 -0.524883591994848 -0.204732218072379 389 -0.320151373922469
390 -0.535778030027541 -0.218884990418011 390 -0.31689303960953
391 -0.33490869854062 -0.021278139260506 391 -0.313630559280114
392 -0.3519740224427 -0.0416100758704251 392 -0.310363946572275
393 -0.483771944565893 -0.176678729470005 393 -0.307093215095888
394 -0.49464185764854 -0.190823479215044 394 -0.303818378433497
395 -0.391897548414554 -0.0913580982733577 395 -0.300539450141196
396 -0.153427723306282 0.143828720443273 396 -0.297256443749555
397 -0.255422418415832 0.0385469543487421 397 -0.293969372764574
398 -0.298906089131593 -0.00822783846291469 398 -0.290678250668678
399 -0.432834859142049 -0.145451768220292 399 -0.287383090921757
400 -0.175859963601604 0.108223943360609 400 -0.284083906962213
401 -0.207579778798441 0.0732009334096436 401 -0.280780712208085
402 -0.48414856943124 -0.206675049373069 402 -0.277473520058171
403 -0.443601493848716 -0.169439149955503 403 -0.274162343893213
404 -0.268857131121317 0.00199006595577955 404 -0.270847197077097
405 -0.291855336102526 -0.0243272431444259 405 -0.2675280929581
406 -0.284074930450326 -0.0198698855801553 406 -0.264205044870171
407 -0.328153783278038 -0.0672757171438038 407 -0.260878066134234
408 -0.272226574311145 -0.0146794042516004 408 -0.257547170059545
409 -0.28560928345278 -0.0313969135077194 409 -0.254212369945061
410 -0.430217391867625 -0.179343712786766 410 -0.250873679080859
411 -0.409917224314175 -0.162386113564599 411 -0.247531110749576
412 -0.297934411181573 -0.0537497329536821 412 -0.244184678227891
413 -0.38808439360985 -0.147249998821822 413 -0.240834394788028
414 -0.374019118135737 -0.136538844436433 414 -0.237480273699304
415 -0.399374935157462 -0.165252606927765 415 -0.234122328229697
416 -0.273164856316734 -0.0424042846692892 416 -0.230760571647445
417 -0.216140576825443 0.0112544403972436 417 -0.227395017222687
418 -0.36394362374381 -0.13991794551469 418 -0.22402567822912
419 -0.231168571336941 -0.0105160033912457 419 -0.220652567945695
420 -0.292398483544708 -0.0751227838863737 420 -0.217275699658334
421 -0.272162529143625 -0.0582674424819395 421 -0.213895086661685
422 -0.280031879840655 -0.0695211375797588 422 -0.210510742260896
423 -0.127289617115757 0.0798330626576655 423 -0.207122679773423
424 -0.162909211480188 0.0408217010506729 424 -0.203730912530861
425 0.0585054734932474 0.258840927374051 425 -0.200335453880804
426 -0.124815708292426 0.0721206088963069 426 -0.196936317188733
427 -0.253916432912097 -0.0603829170721769 427 -0.19353351583992
428 -0.0894766415601668 0.100650421681204 428 -0.190127063241371
429 -0.182833307083513 0.00388366574027066 429 -0.186716972823784
430 -0.129816568517939 0.0534866895255903 430 -0.183303258043529
